prop_name,prop_proven,time,num_lemmas,num_proved_lemmas,num_unproved_lemmas,proved_lemmas,unproved_lemmas,prop
./56,True,1.308634,0,0,0,[],[],drop n (xs++ys) == drop n xs++drop (n-len xs) ys
./57,True,3.208757,0,0,0,[],[],drop n (drop m xs) == drop (n+m) xs
./58,True,1.198205,0,0,0,[],[],drop n (take m xs) == take (m-n) (drop n xs)
./59,True,0.197988,0,0,0,[],[],drop n (zip xs ys) == zip (drop n xs) (drop n ys)
./60,True,1.123393,0,0,0,[],[],ys == [] => last (xs++ys) == last xs
./61,True,1.117597,0,0,0,[],[],not (null ys) == True => last (xs++ys) == last ys
./62,True,1.123299,0,0,0,[],[],last (xs++ys) == lastOfTwo xs ys
./63,True,0.040105,0,0,0,[],[],not (null xs) == True => last (x:xs) == last xs
./64,True,0.142919,0,0,0,[],[],n<len xs == True => last (drop n xs) == last xs
./65,True,1.116561,0,0,0,[],[],last (xs++(x:[])) == x
./66,True,2.236062,10,10,0,"['(m+m)<(n+n) == m<n', '(m+n)<S n == (m+o)<S o', '(m+n)<(m+o) == n<o', '(m+n)<m == False', 'm<(m+n) == Z<n', 'S m<m == False', 'm<S m == True', 'm<m == False', 'm+(n+o) == n+(m+o)', 'm+n == n+m']",[],i<S (m+i) == True
./67,False,2.105433,5,5,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False', 'filter p (filter q xs) == filter q (filter p xs)', 'filter p (filter p xs) == filter p xs']",[],len (filter p xs)<=len xs == True
./68,True,0.058171,0,0,0,[],[],len (butlast xs) == len xs-S Z
./69,False,4.236006,8,8,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False', 'm==n == n==m', 'm==m == True', 'm==S m == False', 'delete m (delete n ms) == delete n (delete m ms)', 'delete m (delete m ms) == delete m ms']",[],len (delete n xs)<=len xs == True
./70,True,2.232735,10,10,0,"['(m+m)<=(n+n) == m<=n', 'S m<=(m+n) == S o<=(o+n)', '(m+n)<=(m+o) == n<=o', '(m+n)<=m == n<=Z', 'm<=(m+n) == True', 'S m<=m == False', 'm<=S m == True', 'm<=m == True', 'm+(n+o) == n+(m+o)', 'm+n == n+m']",[],n<=(m+n) == True
./71,True,0.089234,0,0,0,[],[],m<=n == True => m<=S n == True
./72,False,14.293332,10,10,0,"['m<m == False', 'm<S m == True', 'S m<m == False', 'm==n == n==m', 'm==m == True', 'm==S m == False', 'ins Z (ins m ms) == ins m (ins Z ms)', 'elem m (ins m ms) == True', 'elem (S m) (ins m ms) == elem (S m) ms', 'elem (S m) (ins Z ms) == elem (S m) ms']",[],x<y == True => elem x (ins y xs) == elem x xs
./73,True,1.087335,0,0,0,[],[],x==y == False => elem x (ins y xs) == elem x xs
./74,True,21.458121,19,19,0,"['take m xs++drop m xs == xs', 'drop (len xs) (xs++ys) == ys', 'take (len xs) (xs++ys) == xs', 'len (rev xs) == len xs', 'len (xs++ys) == len (ys++xs)', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs', 'len xs-m == len (drop m xs)', 'drop (len xs) (drop m xs) == []', 'drop (len xs) xs == []', 'take (len xs) xs == xs', 'drop (S Z) (drop m xs) == drop (S m) xs', '(m-n)-(n-m) == m-n', '(m-n)-S o == (m-o)-S n', 'S m-m == S Z', 'm-S m == Z', '(m-n)-o == (m-o)-n', 'm-m == Z']",[],rev (drop i xs) == take (len xs-i) (rev xs)
./75,True,1.353615,7,7,0,"['filter p (rev xs) == rev (filter p xs)', 'filter p xs++filter p ys == filter p (xs++ys)', 'filter p (filter p xs) == filter p xs', 'filter p (filter q xs) == filter q (filter p xs)', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs']",[],rev (filter p xs) == filter p (rev xs)
./76,True,10.554359,19,19,0,"['take m xs++drop m xs == xs', 'drop (len xs) (xs++ys) == ys', 'take (len xs) (xs++ys) == xs', 'len (rev xs) == len xs', 'len (xs++ys) == len (ys++xs)', 'rev xs++rev ys == rev (ys++xs)', '(xs++ys)++zs == xs++(ys++zs)', 'xs++[] == xs', 'len xs-m == len (drop m xs)', 'drop (len xs) (drop m xs) == []', 'drop (len xs) xs == []', 'take (len xs) xs == xs', 'drop (S Z) (drop m xs) == drop (S m) xs', '(m-n)-(n-m) == m-n', '(m-n)-S o == (m-o)-S n', 'S m-m == S Z', 'm-S m == Z', '(m-n)-o == (m-o)-n', 'm-m == Z']",[],rev (take i xs) == drop (len xs-i) (rev xs)
./77,True,1.196146,0,0,0,[],[],n==m == False => count n (xs++(m:[])) == count n xs
./78,True,1.348692,0,0,0,[],[],count n xs+count n (m:[]) == count n (m:xs)
./79,False,8.251058,3,3,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False']",[],sorted xs == True => sorted (insort x xs) == True
./80,False,8.204863,3,3,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False']",[],sorted (sort xs) == True
./81,True,1.095259,0,0,0,[],[],(S m-n)-S k == (m-n)-k
./82,True,1.564558,0,0,0,[],[],take n (xs++ys) == take n xs++take (n-len xs) ys
./83,False,35.813592,5,5,0,"['m+n == n+m', 'm+(n+o) == n+(m+o)', 'drop m (drop n xs) == drop n (drop m xs)', 'drop (m+n) xs == drop m (drop n xs)', 'drop (m+m) (x:[]) == drop m (x:[])']",[],take n (drop m xs) == drop m (take (n+m) xs)
./84,True,2.586228,0,0,0,[],[],take n (zip xs ys) == zip (take n xs) (take n ys)
./85,True,1.846505,0,0,0,[],[],zip (xs++ys) zs == zip xs (take (len xs) zs)++zip ys (drop (len xs) zs)
./86,True,1.734244,0,0,0,[],[],zip xs (ys++zs) == zip (take (len ys) xs) ys++zip (drop (len ys) xs) zs
./87,False,18.703384,9,9,0,"['xs++[] == xs', '(xs++ys)++zs == xs++(ys++zs)', 'zip xs (xs++ys) == zip xs xs', 'zip (xs++ys) xs == zip xs xs', 'zip (xs++xs) (x:[]) == zip xs (x:[])', 'rev xs++rev ys == rev (ys++xs)', 'len (xs++ys) == len (ys++xs)', 'len (rev xs) == len xs', 'rev (rev xs) == xs']",[],len xs == len ys => zip (rev xs) (rev ys) == rev (zip xs ys)
